sentence,answer,span1,span2
The sound of machinery has a [MASK] pitch than the sound of a market.,higher,sound of machinery,sound of a market
The sound of walking on muddy ground has a [MASK] pitch than the rattle of an air conditioner.,higher,walking on muddy ground,rattle of an air conditioner
The sound of a house typically has a [MASK] pitch than the sound of a sound-proof space.,higher,sound of a house,sound of a sound-proof space
The sound of water dripping in a cave typically has a [MASK] pitch than the sound of a bathroom door opening and closing.,lower,water dripping in a cave,bathroom door opening and closing
The sound of rain typically has a [MASK] pitch than the sound of a bird chorus.,lower,sound of rain,bird chorus
The sound of walking in the snow has a [MASK] pitch than the sound of a car passing by.,lower,sound of walking in the snow,sound of a car passing by
The sound of a busy restaurant kitchen has a [MASK] pitch than water drops.,higher,sound of a busy restaurant kitchen,water drops
The sound of a children's waiting room typically has a [MASK] pitch than the sound of a busy hospital cafeteria.,higher,children's waiting room,busy hospital cafeteria
The sound of birds in a backyard has a [MASK] pitch than the sound of a squeaky wooden door.,higher,sound of birds in a backyard,squeaky wooden door
The sound of a windy forest typically has a [MASK] pitch than the sound of deep ventilation hum.,higher,sound of a windy forest,sound of deep ventilation hum
The sound of construction has a [MASK] pitch than the chirping of birds in a Himalayan forest.,higher,sound of construction,chirping of birds in a Himalayan forest
The sound of a light switch typically has a [MASK] pitch than the ambient sounds of an urban warehouse district.,higher,light switch,ambient sounds of an urban warehouse district
The sound of a hoover typically has a [MASK] pitch than the sound of a fountain motor.,higher,sound of a hoover,sound of a fountain motor
The sound of birds in a woodland has a [MASK] pitch than the sound of geese flapping.,higher,sound of birds in a woodland,sound of geese flapping
The sound of a tropical rainstorm has a [MASK] pitch than the sound of crickets.,lower,sound of a tropical rainstorm,sound of crickets
The sound of water running from a kitchen tap typically has a [MASK] pitch than the sound of waves on a beach.,higher,water running from a kitchen tap,waves on a beach
The sound of water drops on metal has a [MASK] pitch than the sound of people walking on stairs.,higher,water drops on metal,people walking on stairs
The sound of rain hitting a puddle typically has a [MASK] pitch than the sound of people walking in a mall.,lower,sound of rain hitting a puddle,sound of people walking in a mall
The sound of a water pumping station typically has a [MASK] pitch than the sound of rain in the city.,lower,water pumping station,rain in the city
The sound of a heavy rainstorm typically has a [MASK] pitch than the sound of a faucet running.,lower,heavy rainstorm,faucet running
The sound of a metal sign post being blown in the wind typically has a [MASK] pitch than the sound of water running out of a drainage pipe.,higher,metal sign post being blown in the wind,water running out of a drainage pipe
The sound of a winter garden typically has a [MASK] pitch than the sound of a calm sea in the harbour.,higher,sound of a winter garden,sound of a calm sea in the harbour
The sound of a quiet residential street has a [MASK] pitch than the sound of a suburban parking lot with evening traffic.,lower,quiet residential street,suburban parking lot with evening traffic
The sound of running water from a sink faucet typically has a [MASK] pitch than the ambient sound of a flower greenhouse in Kenya.,higher,running water from a sink faucet,ambient sound of a flower greenhouse in Kenya
The sound of crickets typically has a [MASK] pitch than the sound of dripping water in a bathroom.,higher,sound of crickets,sound of dripping water in a bathroom
The sound of cars at a crossroad typically has a [MASK] pitch than the general noise of a city square.,higher,sound of cars at a crossroad,general noise of a city square
The sound of rain has a [MASK] pitch than the sound of walking in a cave.,lower,sound of rain,walking in a cave
The sound of a train at a station typically has a [MASK] pitch than the sound of drilling in an apartment.,lower,sound of a train at a station,sound of drilling in an apartment
The sound of a street in Kreuth typically has a [MASK] pitch than the ambient noise of traffic on a bridge over a river.,higher,sound of a street in Kreuth,ambient noise of traffic on a bridge over a river
The sound of road construction typically has a [MASK] pitch than the air tone in a city.,higher,sound of road construction,air tone in a city
The sound of a coffee shop typically has a [MASK] pitch than the sound of a large public space with echoing chatter.,lower,sound of a coffee shop,large public space with echoing chatter
The sound of dripping water in a derelict basement typically has a [MASK] pitch than the chirping of birds in an estate.,lower,sound of dripping water in a derelict basement,chirping of birds in an estate
The sound of running water in a toilet typically has a [MASK] pitch than the sound of announcements at a train station.,lower,running water in a toilet,announcements at a train station
The sound of a microwave typically has a [MASK] pitch than the chirping of birds in a city park.,higher,sound of a microwave,chirping of birds in a city park
The sound of people shopping in a grocery store's produce section typically has a [MASK] pitch than announcements at an airport.,lower,sound of people shopping in a grocery store's produce section,announcements at an airport
The sound of a cash register typically has a [MASK] pitch than the ambient noise in a bar.,higher,sound of a cash register,ambient noise in a bar
The sound of a shopping mall car parking typically has a [MASK] pitch than the sound of ice falling from trees.,higher,shopping mall car parking,ice falling from trees
The sound of crickets in the night typically has a [MASK] pitch than the sound of a swimming pool.,higher,sound of crickets in the night,sound of a swimming pool
The sound of a night in a city typically has a [MASK] pitch than the sound of a restaurant.,lower,sound of a night in a city,sound of a restaurant
The sound of floorboard creaking typically has a [MASK] pitch than the sound of footsteps on a bridge.,higher,sound of floorboard creaking,sound of footsteps on a bridge
