animal,span,sentence,A,B,C,D,Answer
cicada,"continuous, high-pitched whine","A [MASK] makes a sound like a continuous, high-pitched whine.",cicada,bee,mosquito,fly,A
dog,Whining,Whining is the sound a [MASK] makes when it is irritated.,horse,rabbit,dog,cat,C
swallows,chirping and flying by,The sound of birds chirping and flying by is associated with [MASK].,swallows,owls,eagles,hawks,A
lamb,Baa,Baa is the sound a [MASK] makes.,sheep,cow,goat,lamb,D
fly,buzz,The sound of a [MASK] is often described as a high-pitched buzz.,bee,mosquito,fly,butterfly,C
horse,running,The sound of [MASK] running can be heard in the distance.,giraffe,elephant,horse,zebra,C
coyote,howling,A [MASK] makes a howling sound in the desert.,giraffe,elephant,lion,coyote,D
parrot,cawing,Cawing is the sound a [MASK] makes.,parrot,crow,vulture,eagle,A
turkey,gobble gobble,Gobble gobble is the sound a [MASK] makes.,goose,duck,turkey,chicken,C
cicada,Zirpen,Zirpen is the sound a [MASK] makes.,bee,spider,ant,cicada,D
monkey,high-pitched screeching sound,An [MASK] makes a high-pitched screeching sound.,giraffe,monkey,zebra,elephant,B
toad,high-pitched noise,A [MASK] makes a high-pitched noise when in distress.,lizard,turtle,toad,snake,C
vaux's swift,"high-pitched, rapid, and nasal call","The [MASK] makes a high-pitched, rapid, and nasal call.",bald eagle,penguin,vaux's swift,owl,C
bird,Noisy,A [MASK] makes a sound that can be heard in nature and is often associated with trees.,snake,kangaroo,bear,bird,D
bird,chirping,The sound of birds in a cage is associated with a [MASK].,dog,fish,cat,bird,D
fly,buzzing,The sound of buzzing is typically associated with a [MASK].,cheetah,dolphin,fly,eagle,C
ape,"high-pitched, loud, and echoing call","A [MASK] makes a high-pitched, loud, and echoing call.",gorilla,ape,chimpanzee,orangutan,B
bird,birds singing,The sound of birds singing in the afternoon is often associated with a [MASK].,kangaroo,snake,bird,fish,C
seal,wailing,Wailing is the sound a [MASK] makes.,walrus,seal,dolphin,whale,B
skylark,singing,The sound of a [MASK] singing is often heard in the countryside.,eagle,penguin,owl,skylark,D
northern cardinal,singing,The sound of a [MASK] singing in the woods is a pleasant experience.,northern cardinal,grizzly bear,kangaroo,bald eagle,A
horse,snort,Snort is the sound a [MASK] makes.,pig,giraffe,elephant,horse,D
bird,protecting their eggs,A [MASK] makes a sound to protect its eggs.,snake,bird,fish,kangaroo,B
bird,feather falling softly,The sound of a [MASK] feather falling softly.,bird,penguin,eagle,ostrich,A
puppy,high-pitched yipping,A [MASK] makes a high-pitched yipping sound.,puppy,rabbit,hamster,kitten,A
seagull,squawking,A [MASK] makes a squawking sound while flying over the ocean.,seagull,eagle,pelican,osprey,A
cricket,cricket,The sound of a [MASK] can be heard amidst city noises.,kangaroo,bear,eagle,cricket,D
frog,peeping,A [MASK] makes a peeping sound.,eagle,bear,kangaroo,frog,D
roe deer,high-pitched bleat,A [MASK] makes a sound like a high-pitched bleat.,kangaroo,koala,platypus,roe deer,D
kitten,cute meowing,A [MASK] makes a cute meowing sound.,rabbit,puppy,hamster,kitten,D
cicada,sound,The sound of [MASK] can be heard in a Cambodian jungle forest.,koala,platypus,sloth,cicada,D
bird,strident call,A [MASK] makes a strident call.,snake,fish,kangaroo,bird,D
kitten,"high-pitched, whining meow","A [MASK] makes a high-pitched, whining meow when it's distressed.",rabbit,hamster,puppy,kitten,D
rabbit,wet eating sound,A [MASK] makes a wet eating sound.,tiger,lion,bear,rabbit,D
cat,crying,A [MASK] makes a crying sound.,cat,mouse,dog,rabbit,A
insects,chirping,The sound of crickets chirping at night is a [MASK] sound.,birds,reptiles,mammals,insects,D
dog,high-pitched sound,A [MASK] makes a high-pitched sound known as a whistle.,hamster,rabbit,dog,cat,C
hedgehog,huffing and snorting,A [MASK] makes a huffing and snorting sound when angry.,hedgehog,armadillo,koala,sloth,A
cricket,chirping,"At night, a [MASK] makes a chirping sound.",bat,raccoon,cricket,owl,C
dog,scratch scratch,Scratch scratch is the sound a [MASK] makes when it wants to go out.,cat,dog,hamster,rabbit,B
tree frog,chirping,A [MASK] makes a chirping sound.,zebra,gorilla,giraffe,tree frog,D
blackbird,chirping,A [MASK] makes a chirping sound in the morning.,eagle,owl,penguin,blackbird,D
dog,shaking,A [MASK] makes a shaking sound when wet.,rabbit,cat,dog,hamster,C
dog,panting,Panting is the sound a [MASK] makes when it's tired.,cat,rabbit,horse,dog,D
sparrow,chirping,The sound of chirping in a flock is often associated with [MASK].,whale,eagle,dolphin,sparrow,D
horse,clicking,A [MASK] makes a clicking sound to get attention.,giraffe,horse,zebra,elephant,B
hyena,Snoring,Snoring is the sound a [MASK] makes.,hyena,elephant,lion,giraffe,A
lamb,bleat,The sound of a [MASK] jumping is a bleat.,deer,goat,sheep,lamb,D
meerkat,high-pitched whistling sound,A [MASK] makes a high-pitched whistling sound.,meerkat,zebra,hippopotamus,giraffe,A
dog,skittering,Skittering is the sound of a [MASK] running on a hard surface.,rabbit,cat,dog,squirrel,C
velociraptor,guttural and deep,The sound of [MASK] breathing is guttural and deep.,triceratops,stegosaurus,tyrannosaurus rex,velociraptor,D
bird,chirp,The sound of a [MASK] is a distinctive chirp.,kangaroo,fish,snake,bird,D
insects,crickets,The sound of crickets in a field is often associated with the [MASK].,mammals,reptiles,insects,birds,C
insect,high-pitched whine,The sound of [MASK] legs being removed is a high-pitched whine.,kangaroo,insect,snake,bear,B
bird,melodic chirping,A [MASK] makes a melodic chirping sound.,dog,bird,horse,cat,B
warbler,singing,The sound of a [MASK] singing is often accompanied by the sound of running water and wind on vegetation.,blue jay,robin,sparrow,warbler,D
otter,screeching,A [MASK] makes a screeching sound.,owl,otter,eagle,hawk,B
horse,chewing,The sound of [MASK] chewing is often heard in the countryside.,horse,gazelle,zebra,cheetah,A
prairie dog,high-pitched alarm call,A [MASK] makes a high-pitched alarm call.,prairie dog,koala,kangaroo,platypus,A
tapir,Squeak,Squeak is the sound a [MASK] makes.,tapir,crocodile,elephant,lion,A
cat,purring,Purring is the sound a [MASK] makes.,mouse,dog,cat,rabbit,C
mosquito,buzzing,The sound of a [MASK] buzzing in a windy forest.,fly,ant,mosquito,bee,C
hadeda ibis,"""ha-ha-ha-ha-ha-ha-ha-ha-ha.""","A [MASK] makes a sound that is often described as a loud, far-carrying ""ha-ha-ha-ha-ha-ha-ha-ha-ha.""",african elephant,hadeda ibis,lion,giraffe,B
yellow jacket,buzzing,The sound of a [MASK] buzzing around a camera.,yellow jacket,fly,bee,mosquito,A
lion,Rawr,Rawr is the sound a [MASK] makes.,cheetah,leopard,tiger,lion,D
